latitude,longitude
40.63073684373091,-8.65419575254765
40.63082070836148,-8.65424832384293
40.63090457299205,-8.654300895138208
40.63098843762263,-8.654353466433488
40.631072302253195,-8.654406037728766
40.63115616688377,-8.654458609024045
40.63124003151434,-8.654511180319323
40.63132389614491,-8.654563751614603
40.63140776077549,-8.654616322909881
40.631491625406056,-8.65466889420516
40.63157549003663,-8.654721465500439
40.6316593546672,-8.654774036795718
40.631743219297775,-8.654826608090996
40.63182708392834,-8.654879179386276
40.63191094855892,-8.654931750681554
40.63199481318949,-8.654984321976833
40.63207867782006,-8.655036893272113
40.63216254245064,-8.655089464567391
40.632246407081205,-8.65514203586267
40.63233027171178,-8.655194607157949
40.63241413634235,-8.655247178453228
40.63249800097292,-8.655299749748506
40.63258186560349,-8.655352321043786
40.632665730234066,-8.655404892339064
40.63274959486464,-8.655457463634344
40.63283345949521,-8.655510034929621
40.632917324125785,-8.655562606224901
40.63300118875635,-8.655615177520179
40.63308505338693,-8.655667748815459
40.633168918017496,-8.655720320110737
40.63325278264807,-8.655772891406016
